t,node,online,ssid,rssi,near_cm,near,pass_cm,pass_blocked,cam_on,die_c,heap
1788446388.6,gate-in,1,charon,-35,33.5,1,50.0,1,1,69.6,172116
1788446388.6,gate-out,1,charon,-47,57.3,1,16.7,1,1,66.5,172280
1788446388.6,zone-reception,1,charon,-35,44.0,1,-1.0,0,1,71.1,172076
1788446388.6,zone-warehouse,1,charon,-13,97.6,1,-1.0,0,1,73.3,172088
1788446388.6,zone-workshop,0,,,,,,,,,
1788446388.6,zone-server,1,charon,-60,36.9,1,-1.0,0,1,74.4,172192
1788446396.0,gate-in,1,charon,-36,32.2,1,50.0,1,1,69.6,172112
1788446396.0,gate-out,1,charon,-47,57.6,1,16.7,1,1,66.5,172280
1788446396.0,zone-reception,1,charon,-34,2.3,1,-1.0,0,1,71.1,172076
1788446396.0,zone-warehouse,1,charon,-14,73.4,1,-1.0,0,1,73.3,172088
1788446396.0,zone-workshop,0,,,,,,,,,
1788446396.0,zone-server,1,charon,-57,27.3,1,-1.0,0,1,74.4,172192
1788446399.2,gate-in,1,charon,-36,33.5,1,50.0,1,1,69.6,172112
1788446399.2,gate-out,1,charon,-47,57.2,1,16.7,1,1,66.5,172288
1788446399.2,zone-reception,1,charon,-33,16.4,1,-1.0,0,1,71.1,172084
1788446399.2,zone-warehouse,1,charon,-13,98.1,1,-1.0,0,1,73.3,172088
1788446399.2,zone-workshop,1,charon,-52,85.5,1,-1.0,0,1,79.6,172252
1788446399.2,zone-server,1,charon,-60,37.4,1,-1.0,0,1,74.4,172192
1788446401.1,gate-in,1,charon,-35,32.7,1,50.0,1,1,69.6,172112
1788446401.1,gate-out,1,charon,-47,58.2,1,16.7,1,1,66.5,172288
1788446401.1,zone-reception,1,charon,-35,43.2,1,-1.0,0,1,71.1,172076
1788446401.1,zone-warehouse,1,charon,-14,98.5,1,-1.0,0,1,73.3,172088
1788446401.1,zone-workshop,1,charon,-50,85.1,1,-1.0,0,1,80.6,172244
1788446401.1,zone-server,1,charon,-60,26.4,1,-1.0,0,1,74.4,172192
1788446403.0,gate-in,1,charon,-35,32.7,1,50.0,1,1,69.6,172112
1788446403.0,gate-out,1,charon,-46,59.8,1,16.7,1,1,66.5,172288
1788446403.0,zone-reception,1,charon,-33,43.2,1,-1.0,0,1,71.1,172076
1788446403.0,zone-warehouse,1,charon,-15,98.1,1,-1.0,0,1,73.3,172088
1788446403.0,zone-workshop,1,charon,-53,82.7,1,-1.0,0,1,79.6,172252
1788446403.0,zone-server,1,charon,-62,26.4,1,-1.0,0,1,74.4,172192
1788446404.7,gate-in,1,charon,-35,32.7,1,50.0,1,1,69.6,172112
1788446404.7,gate-out,1,charon,-46,59.3,1,16.7,1,1,66.5,172288
1788446404.7,zone-reception,1,charon,-33,34.8,1,-1.0,0,1,71.1,172076
1788446404.7,zone-warehouse,1,charon,-14,98.0,1,-1.0,0,1,73.3,172088
1788446404.7,zone-workshop,1,charon,-55,72.5,1,-1.0,0,1,79.6,172244
1788446404.7,zone-server,1,charon,-59,27.3,1,-1.0,0,1,74.4,172192
1788446406.8,gate-in,1,charon,-35,32.2,1,50.0,1,1,69.6,172112
1788446406.8,gate-out,1,charon,-47,53.4,1,16.7,1,1,66.5,172288
1788446406.8,zone-reception,1,charon,-33,37.0,1,-1.0,0,1,71.1,172084
1788446406.8,zone-warehouse,1,charon,-14,84.1,1,-1.0,0,1,73.3,172088
1788446406.8,zone-workshop,1,charon,-55,85.9,1,-1.0,0,1,79.6,172252
1788446406.8,zone-server,1,charon,-57,36.9,1,-1.0,0,1,74.4,172192
1788446408.7,gate-in,1,charon,-36,32.7,1,50.0,1,1,69.6,172112
1788446408.7,gate-out,1,charon,-47,52.7,1,16.7,1,1,66.5,172288
1788446408.7,zone-reception,1,charon,-35,50.2,1,-1.0,0,1,71.1,172076
1788446408.7,zone-warehouse,1,charon,-14,98.1,1,-1.0,0,1,73.3,172088
1788446408.7,zone-workshop,1,charon,-59,71.7,1,-1.0,0,1,79.6,172244
1788446408.7,zone-server,1,charon,-53,21.7,1,-1.0,0,1,74.4,172192
1788446410.8,gate-in,1,charon,-37,36.2,1,50.9,1,1,69.6,172112
1788446410.8,gate-out,1,charon,-48,43.6,1,5.2,1,1,66.5,172288
1788446410.8,zone-reception,1,charon,-35,70.9,1,-1.0,0,1,71.1,172076
1788446410.8,zone-warehouse,1,charon,-14,98.0,1,-1.0,0,1,73.3,172088
1788446410.8,zone-workshop,1,charon,-57,84.1,1,-1.0,0,1,80.6,172252
1788446410.8,zone-server,1,charon,-54,29.9,1,-1.0,0,1,74.4,172192
1788446412.6,gate-in,1,charon,-36,31.9,1,50.0,1,1,69.6,172112
1788446412.6,gate-out,1,charon,-48,13.8,1,16.7,1,1,66.5,172288
1788446412.6,zone-reception,1,charon,-33,57.0,1,-1.0,0,1,71.1,172076
1788446412.6,zone-warehouse,1,charon,-14,98.4,1,-1.0,0,1,73.3,172088
1788446412.6,zone-workshop,1,charon,-53,85.5,1,-1.0,0,1,80.6,172244
1788446412.6,zone-server,1,charon,-59,27.3,1,-1.0,0,1,74.4,172192
1788446416.3,gate-in,1,charon,-35,33.5,1,37.5,1,1,69.6,172112
1788446416.3,gate-out,1,charon,-49,16.5,1,16.7,1,1,66.5,172288
1788446416.3,zone-reception,1,charon,-34,39.6,1,-1.0,0,1,71.1,172084
1788446416.3,zone-warehouse,1,charon,-14,98.1,1,-1.0,0,1,73.3,172088
1788446416.3,zone-workshop,1,charon,-51,85.0,1,-1.0,0,1,79.6,172252
1788446416.3,zone-server,1,charon,-66,29.9,1,-1.0,0,1,74.4,172192
1788446418.0,gate-in,1,charon,-36,33.5,1,50.9,1,1,69.6,172112
1788446418.0,gate-out,1,charon,-52,52.5,1,5.2,1,1,66.5,172288
1788446418.0,zone-reception,1,charon,-34,69.9,1,-1.0,0,1,71.1,172076
1788446418.0,zone-warehouse,1,charon,-14,97.7,1,-1.0,0,1,73.3,172088
1788446418.0,zone-workshop,1,charon,-53,83.4,1,-1.0,0,1,79.6,172244
1788446418.0,zone-server,1,charon,-55,29.9,1,-1.0,0,1,74.4,172192
1788446419.8,gate-in,1,charon,-35,32.7,1,50.0,1,1,69.6,172112
1788446419.8,gate-out,1,charon,-50,52.0,1,16.7,1,1,66.5,172288
